start_s,end_s,cell_id,imsi,rnti,lcid,n_tx_pdus,tx_bytes,n_rx_pdus,rx_bytes,delay_s,delay_std_dev_s,delay_min_s,delay_max_s,pdu_size_bytes,pdu_size_std_dev_bytes,pdu_size_min_bytes,pdu_size_max_bytes
0.9,1.0,1,3,5,3,1005,1316550,60,78600,0.383063,0.227238,0.00349665,0.538997,1310,0.0,1310.0,1310.0
0.9,1.0,1,4,4,3,198,259380,169,221390,0.118544,0.161672,0.00123832,0.360996,1310,0.0,1310.0,1310.0
0.9,1.0,1,5,12,3,198,259380,118,154580,0.229856,0.109546,0.102827,0.364494,1310,0.0,1310.0,1310.0
0.9,1.0,1,6,10,3,198,259380,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
0.9,1.0,1,7,3,3,1185,1552350,53,69430,0.0222848,0.00890086,0.00399233,0.0359923,1310,0.0,1310.0,1310.0
0.9,1.0,1,8,7,3,203,265930,65,85150,0.597337,0.077894,0.00100186,0.656491,1310,0.0,1310.0,1310.0
0.9,1.0,1,9,1,3,198,259380,58,75980,0.528447,0.0116883,0.50749,0.54649,1310,0.0,1310.0,1310.0
0.9,1.0,1,10,6,3,198,259380,57,74670,0.41712,0.0149018,0.391989,0.443489,1310,0.0,1310.0,1310.0
0.9,1.0,1,11,2,3,198,259380,60,78600,0.363362,0.088063,0.325488,0.83207,1310,0.0,1310.0,1310.0
0.9,1.0,1,12,8,3,198,259380,65,85150,0.564341,0.0110749,0.545487,0.589987,1310,0.0,1310.0,1310.0
1.0,1.1,1,1,9,3,198,259380,58,75980,0.112595,0.049333,0.0854988,0.471081,1310,0.0,1310.0,1310.0
1.0,1.1,1,2,11,3,198,259380,63,77384,0.660307,0.0217396,0.624998,0.695498,1228,279.208,85.0,1322.0
1.0,1.1,1,3,5,3,580,759800,58,75980,0.203013,0.276449,0.0104967,0.633997,1310,0.0,1310.0,1310.0
1.0,1.1,1,4,4,3,198,259380,153,200430,0.141563,0.182585,0.00123832,0.399996,1310,0.0,1310.0,1310.0
1.0,1.1,1,5,12,3,198,259380,153,200430,0.24286,0.120108,0.128577,0.405994,1310,0.0,1310.0,1310.0
1.0,1.1,1,6,10,3,943,1235330,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
1.0,1.1,1,7,3,3,198,259380,57,74670,0.217238,0.212462,0.0304923,0.500492,1310,0.0,1310.0,1310.0
1.0,1.1,1,8,7,3,198,259380,58,75980,0.615957,0.0135785,0.591991,0.636991,1310,0.0,1310.0,1310.0
1.0,1.1,1,9,1,3,198,259380,65,85150,0.562236,0.0100713,0.54449,0.58149,1310,0.0,1310.0,1310.0
1.0,1.1,1,10,6,3,198,259380,58,75980,0.479325,0.0195653,0.448489,0.510489,1310,0.0,1310.0,1310.0
1.0,1.1,1,11,2,3,198,259380,73,95630,0.456952,0.175239,0.369988,0.96432,1310,0.0,1310.0,1310.0
1.0,1.1,1,12,8,3,198,259380,57,74670,0.550075,0.00560064,0.537487,0.559487,1310,0.0,1310.0,1310.0
1.1,1.2,1,1,9,3,198,259380,585,766350,0.537502,0.224464,0.125499,0.972581,1310,0.0,1310.0,1310.0
1.1,1.2,1,2,11,3,198,259380,57,72505,0.731971,0.0191149,0.701498,0.762998,1272,200.467,111.0,1322.0
1.1,1.2,1,3,5,3,198,259380,65,85150,0.614912,0.00852092,0.595997,0.635497,1310,0.0,1310.0,1310.0
1.1,1.2,1,4,4,3,198,259380,149,195190,0.189199,0.208356,0.00155975,0.445496,1310,0.0,1310.0,1310.0
1.1,1.2,1,5,12,3,198,259380,137,179470,0.264531,0.139758,0.140077,0.448994,1310,0.0,1310.0,1310.0
1.1,1.2,1,6,10,3,198,259380,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
1.1,1.2,1,7,3,3,1070,1401700,64,83840,0.549852,0.351359,0.00349233,0.971492,1310,0.0,1310.0,1310.0
1.1,1.2,1,8,7,3,198,259380,57,74670,0.651263,0.0106842,0.633491,0.670491,1310,0.0,1310.0,1310.0
1.1,1.2,1,9,1,3,198,259380,57,74670,0.597324,0.010392,0.57949,0.61599,1310,0.0,1310.0,1310.0
1.1,1.2,1,10,6,3,198,259380,65,85150,0.551543,0.0219815,0.515989,0.586489,1310,0.0,1310.0,1310.0
1.1,1.2,1,11,2,3,198,259380,74,96940,0.560727,0.241492,0.413488,1.04782,1310,0.0,1310.0,1310.0
1.1,1.2,1,12,8,3,198,259380,58,75980,0.540599,0.0078299,0.525987,0.553987,1310,0.0,1310.0,1310.0
1.2,1.3,1,1,9,3,198,259380,69,90390,0.202016,0.0336026,0.167999,0.310331,1310,0.0,1310.0,1310.0
1.2,1.3,1,2,11,3,198,259380,58,73363,0.799334,0.0192944,0.768998,0.830498,1264,189.666,197.0,1322.0
1.2,1.3,1,3,5,3,198,259380,78,102180,0.481253,0.182243,0.148329,0.606997,1310,0.0,1310.0,1310.0
1.2,1.3,1,4,4,3,198,259380,166,217460,0.163395,0.221161,0.00123832,0.491496,1310,0.0,1310.0,1310.0
1.2,1.3,1,5,12,3,198,259380,144,188640,0.286883,0.144264,0.154577,0.485994,1310,0.0,1310.0,1310.0
1.2,1.3,1,6,10,3,325,425750,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
1.2,1.3,1,7,3,3,198,259380,57,74670,0.64993,0.109623,0.461992,0.832492,1310,0.0,1310.0,1310.0
1.2,1.3,1,8,7,3,1389,1819590,56,73360,0.529196,0.288577,0.00449125,0.703991,1310,0.0,1310.0,1310.0
1.2,1.3,1,9,1,3,198,259380,57,74670,0.640473,0.0117066,0.61899,0.66049,1310,0.0,1310.0,1310.0
1.2,1.3,1,10,6,3,198,259380,57,74670,0.622805,0.0193922,0.591489,0.653489,1310,0.0,1310.0,1310.0
1.2,1.3,1,11,2,3,198,259380,78,102180,0.639051,0.270082,0.455988,1.11971,1310,0.0,1310.0,1310.0
1.2,1.3,1,12,8,3,1136,1488160,64,83840,0.466081,0.162086,0.00498693,0.533987,1310,0.0,1310.0,1310.0
1.3,1.4,1,1,9,3,198,259380,61,79910,0.243308,0.0456358,0.216999,0.451474,1310,0.0,1310.0,1310.0
1.3,1.4,1,2,11,3,198,259380,65,82611,0.871921,0.021832,0.836498,0.906498,1270,189.653,191.0,1322.0
1.3,1.4,1,3,5,3,198,259380,67,87770,0.532587,0.102208,0.222222,0.591497,1310,0.0,1310.0,1310.0
1.3,1.4,1,4,4,3,198,259380,155,203050,0.193853,0.247445,0.00116689,0.535496,1310,0.0,1310.0,1310.0
1.3,1.4,1,5,12,3,198,259380,343,449330,0.147148,0.178515,0.000987242,0.522994,1310,0.0,1310.0,1310.0
1.3,1.4,1,6,10,3,198,259380,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
1.3,1.4,1,7,3,3,1181,1547110,56,73360,0.240448,0.219859,0.00499233,0.472492,1310,0.0,1310.0,1310.0
1.3,1.4,1,8,7,3,892,1168520,57,74670,0.0336667,0.0127806,0.0114913,0.0559913,1310,0.0,1310.0,1310.0
1.3,1.4,1,9,1,3,198,259380,65,85150,0.677021,0.00899949,0.66049,0.69449,1310,0.0,1310.0,1310.0
1.3,1.4,1,10,6,3,219,286890,57,74670,0.689673,0.0193922,0.658989,0.720989,1310,0.0,1310.0,1310.0
1.3,1.4,1,11,2,3,198,259380,116,151960,0.784183,0.308522,0.490988,1.14396,1310,0.0,1310.0,1310.0
1.3,1.4,1,12,8,3,198,259380,516,675960,0.268744,0.142754,0.0104869,0.543819,1310,0.0,1310.0,1310.0
1.4,1.5,1,1,9,3,198,259380,62,81220,0.290836,0.0768484,0.245999,0.569581,1310,0.0,1310.0,1310.0
1.4,1.5,1,2,11,3,2494,3267140,104,136240,0.556668,0.543049,0.00349773,1.20397,1310,0.0,1310.0,1310.0
1.4,1.5,1,3,5,3,198,259380,69,90390,0.580639,0.0776772,0.307829,0.672497,1310,0.0,1310.0,1310.0
1.4,1.5,1,4,4,3,198,259380,170,222700,0.210896,0.267673,0.00120261,0.575996,1310,0.0,1310.0,1310.0
1.4,1.5,1,5,12,3,198,259380,162,212220,0.190061,0.257113,0.000987242,0.556994,1310,0.0,1310.0,1310.0
1.4,1.5,1,6,10,3,198,259380,7,9170,0.776636,0.0810914,0.743993,0.960493,1310,0.0,1310.0,1310.0
1.4,1.5,1,7,3,3,198,259380,65,85150,0.360231,0.206221,0.0234923,0.517492,1310,0.0,1310.0,1310.0
1.4,1.5,1,8,7,3,1006,1317853,14,18340,0.231634,0.340171,0.0514913,0.860491,1310,0.0,1310.0,1310.0
1.4,1.5,1,9,1,3,198,259380,58,75980,0.711309,0.0105205,0.69199,0.72999,1310,0.0,1310.0,1310.0
1.4,1.5,1,10,6,3,1682,2203420,64,83840,0.264169,0.34406,0.00448909,0.745989,1310,0.0,1310.0,1310.0
1.4,1.5,1,11,2,3,198,259380,105,137550,0.831817,0.302362,0.535488,1.18182,1310,0.0,1310.0,1310.0
1.4,1.5,1,12,8,3,269,352390,64,83840,0.0728423,0.013777,0.0474869,0.0944869,1310,0.0,1310.0,1310.0
1.5,1.6,1,1,9,3,198,259380,65,85150,0.314022,0.0154099,0.288499,0.338999,1310,0.0,1310.0,1310.0
1.5,1.6,1,2,11,3,198,259380,59,77290,0.102183,0.207881,0.0449977,1.21508,1310,0.0,1310.0,1310.0
1.5,1.6,1,3,5,3,198,259380,66,86460,0.610127,0.0629144,0.413579,0.644497,1310,0.0,1310.0,1310.0
